month,hour,price_eur_mwh,year,year_baseload
1,0,44.27677419354839,2021,100.662
1,1,42.32258064516128,2021,100.662
1,2,40.924838709677424,2021,100.662
1,3,39.846451612903216,2021,100.662
1,4,40.979677419354836,2021,100.662
1,5,43.46387096774194,2021,100.662
1,6,50.58161290322581,2021,100.662
1,7,57.971612903225804,2021,100.662
1,8,62.09322580645161,2021,100.662
1,9,65.00451612903227,2021,100.662
1,10,64.53741935483872,2021,100.662
1,11,64.7216129032258,2021,100.662
1,12,63.536774193548396,2021,100.662
1,13,61.91806451612903,2021,100.662
1,14,61.05612903225808,2021,100.662
1,15,61.88903225806452,2021,100.662
1,16,65.69645161290323,2021,100.662
1,17,69.8967741935484,2021,100.662
1,18,68.82064516129033,2021,100.662
1,19,65.77677419354839,2021,100.662
1,20,60.41741935483871,2021,100.662
1,21,53.96548387096773,2021,100.662
1,22,51.89870967741936,2021,100.662
1,23,46.32645161290323,2021,100.662
2,0,40.52928571428572,2021,100.662
2,1,37.56678571428571,2021,100.662
2,2,36.71642857142857,2021,100.662
2,3,35.59571428571429,2021,100.662
2,4,36.34892857142857,2021,100.662
2,5,39.246071428571426,2021,100.662
2,6,47.94392857142857,2021,100.662
2,7,56.44642857142857,2021,100.662
2,8,60.38321428571429,2021,100.662
2,9,60.61714285714286,2021,100.662
2,10,57.81785714285714,2021,100.662
2,11,55.820357142857134,2021,100.662
2,12,53.13464285714286,2021,100.662
2,13,51.10571428571428,2021,100.662
2,14,50.117142857142866,2021,100.662
2,15,51.96714285714285,2021,100.662
2,16,55.65321428571429,2021,100.662
2,17,63.496428571428574,2021,100.662
2,18,66.66,2021,100.662
2,19,63.19357142857143,2021,100.662
2,20,56.93500000000001,2021,100.662
2,21,49.62821428571429,2021,100.662
2,22,47.334999999999994,2021,100.662
2,23,41.80821428571428,2021,100.662
3,0,46.61516129032258,2021,100.662
3,1,44.57516129032259,2021,100.662
3,2,43.21266666666666,2021,100.662
3,3,43.20290322580646,2021,100.662
3,4,44.07838709677419,2021,100.662
3,5,47.972258064516126,2021,100.662
3,6,55.638387096774196,2021,100.662
3,7,61.66935483870968,2021,100.662
3,8,62.252580645161295,2021,100.662
3,9,58.0925806451613,2021,100.662
3,10,53.69774193548386,2021,100.662
3,11,52.365161290322575,2021,100.662
3,12,51.03258064516129,2021,100.662
3,13,49.19612903225807,2021,100.662
3,14,48.814516129032256,2021,100.662
3,15,50.32419354838709,2021,100.662
3,16,53.31838709677418,2021,100.662
3,17,58.574193548387086,2021,100.662
3,18,67.91838709677418,2021,100.662
3,19,71.05806451612904,2021,100.662
3,20,63.97870967741936,2021,100.662
3,21,57.33419354838709,2021,100.662
3,22,54.736451612903224,2021,100.662
3,23,49.39516129032259,2021,100.662
4,0,55.23500000000001,2021,100.662
4,1,52.40466666666667,2021,100.662
4,2,51.15633333333333,2021,100.662
4,3,50.30033333333334,2021,100.662
4,4,51.26199999999999,2021,100.662
4,5,54.15599999999999,2021,100.662
4,6,64.184,2021,100.662
4,7,73.13000000000001,2021,100.662
4,8,75.30266666666667,2021,100.662
4,9,66.27666666666667,2021,100.662
4,10,59.942333333333316,2021,100.662
4,11,58.415333333333336,2021,100.662
4,12,56.73366666666667,2021,100.662
4,13,52.883,2021,100.662
4,14,50.154,2021,100.662
4,15,49.823,2021,100.662
4,16,52.328,2021,100.662
4,17,57.228,2021,100.662
4,18,65.84866666666666,2021,100.662
4,19,76.30766666666666,2021,100.662
4,20,78.98966666666666,2021,100.662
4,21,70.37133333333333,2021,100.662
4,22,65.09833333333333,2021,100.662
4,23,58.344000000000015,2021,100.662
5,0,56.635161290322586,2021,100.662
5,1,51.5458064516129,2021,100.662
5,2,48.475161290322575,2021,100.662
5,3,47.00322580645161,2021,100.662
5,4,47.30258064516129,2021,100.662
5,5,50.83258064516129,2021,100.662
5,6,61.181935483870966,2021,100.662
5,7,69.32709677419356,2021,100.662
5,8,70.48387096774194,2021,100.662
5,9,65.14645161290322,2021,100.662
5,10,59.39225806451613,2021,100.662
5,11,58.28096774193548,2021,100.662
5,12,55.290645161290314,2021,100.662
5,13,49.577741935483864,2021,100.662
5,14,44.84903225806451,2021,100.662
5,15,46.784516129032255,2021,100.662
5,16,50.16290322580646,2021,100.662
5,17,57.4916129032258,2021,100.662
5,18,67.41903225806452,2021,100.662
5,19,75.68870967741934,2021,100.662
5,20,80.98483870967742,2021,100.662
5,21,75.63935483870966,2021,100.662
5,22,71.15967741935485,2021,100.662
5,23,62.29225806451613,2021,100.662
6,0,72.05100000000002,2021,100.662
6,1,67.02933333333334,2021,100.662
6,2,64.31400000000001,2021,100.662
6,3,62.65033333333334,2021,100.662
6,4,62.26566666666667,2021,100.662
6,5,64.59033333333333,2021,100.662
6,6,75.24766666666666,2021,100.662
6,7,82.97800000000001,2021,100.662
6,8,85.20666666666668,2021,100.662
6,9,79.63033333333333,2021,100.662
6,10,73.83733333333335,2021,100.662
6,11,72.70833333333334,2021,100.662
6,12,71.965,2021,100.662
6,13,66.192,2021,100.662
6,14,64.30233333333334,2021,100.662
6,15,66.84666666666666,2021,100.662
6,16,70.43066666666667,2021,100.662
6,17,74.32133333333333,2021,100.662
6,18,84.19900000000001,2021,100.662
6,19,93.70899999999999,2021,100.662
6,20,95.11533333333331,2021,100.662
